source_id,label,source_category,page_snapshots,actual_media_files,likely_meme_media_files,matched_terms,expected_terms,coverage_state
kym_this_is_fine,KYM This Is Fine画像ギャラリー,meme_gallery,5,154,146,This Is Fine,This Is Fine,COVERED
kym_distracted_boyfriend,KYM Distracted Boyfriend画像ギャラリー,meme_gallery,6,187,186,Distracted Boyfriend,Distracted Boyfriend,COVERED
kym_drake,KYM Drakeposting画像ギャラリー,meme_gallery,5,158,158,Drakeposting,Drakeposting,COVERED
kym_expanding_brain,KYM Expanding Brain画像ギャラリー,meme_gallery,5,159,158,Expanding Brain,Expanding Brain,COVERED
kym_is_this_pigeon,KYM Is This a Pigeon画像ギャラリー,meme_gallery,5,159,159,Is This a Pigeon,Is This a Pigeon,COVERED
kym_hide_pain_harold,KYM Hide the Pain Harold画像ギャラリー,meme_gallery,5,15,15,Hide the Pain Harold,Hide the Pain Harold,COVERED
kym_disaster_girl,KYM Disaster Girl画像ギャラリー,meme_gallery,5,161,160,Disaster Girl,Disaster Girl,COVERED
higanjima_maruta,みんな丸太は持ったな!! 実流通画像,direct_meme_media,0,1,1,丸太,丸太,COVERED
hxh_fast_handknife,おそろしく速い手刀 実流通画像,direct_meme_media,0,1,1,おそろしく速い手刀,おそろしく速い手刀,COVERED
jojo_to_be_continued,To Be Continued 実流通画像,direct_meme_media,0,1,1,To Be Continued,To Be Continued,COVERED
kaiji_zawazawa,ざわ…ざわ… 実GIF,direct_meme_media,0,1,1,ざわ…ざわ… | ざわざわ,ざわざわ | ざわ…ざわ…,COVERED
kaiji_zawazawa_liveaction,ざわ…ざわ… 実写GIF,direct_meme_media,0,1,1,ざわ…ざわ… | ざわざわ,ざわざわ | ざわ…ざわ…,COVERED
kochikame_all_same,全部同じじゃないですか!? 実流通画像,direct_meme_media,0,1,1,全部同じじゃないですか,全部同じじゃないですか,COVERED
mafty_dance_reference,連邦に反省を促すダンス 実流通画像,direct_meme_media,0,1,1,連邦に反省を促すダンス,連邦に反省を促すダンス | マフティー,COVERED
onepiece_ship_oriro_collage,お前もう船降りろ 実コラ,direct_meme_media,0,1,1,お前もう船降りろ,お前もう船降りろ,COVERED
yamcha_death_pose,ヤムチャ死亡ポーズ 実流通画像,direct_meme_media,0,1,1,ヤムチャ死亡ポーズ,ヤムチャ死亡ポーズ | ヤムチャしやがって,COVERED
yugioh_jonouchi_dies,次回、城之内死す 実流通画像,direct_meme_media,0,1,1,城之内死す,次回城之内死す | 城之内死す,COVERED
